quality_grade,observed_on_details.month,observed_on_details.year,taxon.name,taxon.observations_count,user.observations_count,Atlanta,Size_mm,Bright_Colors,Contrasting_markings,Diurnal,Unique_Morphology,Web_Decoration,Web_Size (rough),Seasonal_Peak,Polymorphic
1,12,2022,Gasteracantha cancriformis,24494,751,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,12,2022,Trichonephila clavipes,27897,6779,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,12,2022,Gasteracantha cancriformis,24494,2745,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,12,2022,Trichonephila clavata,6803,13817,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Trichonephila clavata,6803,22,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Araneus marmoreus,12332,41,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Trichonephila clavata,6803,4,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Araneus marmoreus,12332,289,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
0,12,2022,Neoscona crucifera,24246,215,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,12,2022,Gasteracantha cancriformis,24494,15009,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,12,2022,Trichonephila clavata,6803,147,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Verrucosa arenata,7235,2434,Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,12,2022,Araneus marmoreus,12332,160,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Gasteracantha cancriformis,24494,15009,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,12,2022,Trichonephila clavipes,27897,18,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,12,2022,Araneus marmoreus,12332,784,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Gasteracantha cancriformis,24494,471,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
0,12,2022,Larinioides cornutus,10284,2352,Atlanta,10.25,no,no,no,no,no,medium,Summer,no
1,12,2022,Araneus marmoreus,12332,266,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Trichonephila clavata,6803,11,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,12,2022,Neoscona crucifera,24246,43,Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,12,2022,Trichonephila clavata,6803,627,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Araneus marmoreus,12332,85,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Mangora placida,1848,119,Atlanta,3.45,yes,yes,yes,no,no,small,Summer,no
1,12,2022,Araneus marmoreus,12332,41,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Larinioides cornutus,10284,13817,Not Atlanta,10.25,no,no,no,no,no,medium,Summer,no
1,12,2022,Trichonephila clavata,6803,10,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,12,2022,Neoscona crucifera,24246,170,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,12,2022,Trichonephila clavata,6803,2911,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Araneus marmoreus,12332,194,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Araneus marmoreus,12332,47,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Trichonephila clavata,6803,4381,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Araneus marmoreus,12332,412,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,12,2022,Trichonephila clavata,6803,107,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Trichonephila clavipes,27897,26,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,12,2022,Trichonephila clavata,6803,13549,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,12,2022,Trichonephila clavipes,27897,1356,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,12,2022,Araneus marmoreus,12332,96,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
0,12,2022,Gea heptagon,1340,1445,Atlanta,5.15,no,no,yes,yes,no,small,Summer,no
1,12,2022,Araneus marmoreus,12332,301,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Neoscona domiciliorum,3944,24,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Araneus marmoreus,12332,609,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Verrucosa arenata,7235,172,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Trichonephila clavata,6803,637,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,500,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Mangora placida,1848,11541,Not Atlanta,3.45,yes,yes,yes,no,no,small,Summer,no
1,11,2022,Trichonephila clavata,6803,172,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,4,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,773,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Mangora placida,1848,2904,Not Atlanta,3.45,yes,yes,yes,no,no,small,Summer,no
1,11,2022,Trichonephila clavata,6803,11112,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,989,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,2651,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,277,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,7857,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Neoscona crucifera,24246,403,Atlanta,14.3,yes,no,no,no,no,large,Fall,no
0,11,2022,Neoscona crucifera,24246,403,Atlanta,14.3,yes,no,no,no,no,large,Fall,no
0,11,2022,Neoscona domiciliorum,3944,11541,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Eustala anastera,1540,1870,Not Atlanta,7.15,no,no,no,no,no,small,Summer,no
1,11,2022,Araneus pegnia,1248,1269,Not Atlanta,5.93,no,yes,yes,no,no,small,Fall,yes
1,11,2022,Araneus marmoreus,12332,22,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,130,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,131,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,17,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,19,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,1519,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,322,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Neoscona domiciliorum,3944,44,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Verrucosa arenata,7235,4381,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,105,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
0,11,2022,Trichonephila clavata,6803,102,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Neoscona crucifera,24246,913,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,37,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Neoscona crucifera,24246,327,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Neoscona domiciliorum,3944,81,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Trichonephila clavata,6803,15,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,1445,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,32,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,17829,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,17829,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,237,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,249,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,55,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,45,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,4,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,483,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,1,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,967,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,6889,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Eustala anastera,1540,307,Not Atlanta,7.15,no,no,no,no,no,small,Summer,no
1,11,2022,Trichonephila clavata,6803,801,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,117,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,63,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,456,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,801,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Neoscona crucifera,24246,261,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,456,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,896,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,1,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,13817,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,13817,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Verrucosa arenata,7235,13817,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Araneus marmoreus,12332,172,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,172,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,172,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,172,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,155,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,42,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,80,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Argiope trifasciata,18013,2863,Atlanta,20,yes,yes,yes,no,yes,large,Fall,no
1,11,2022,Trichonephila clavata,6803,637,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Neoscona domiciliorum,3944,7857,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Trichonephila clavata,6803,1,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,184,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,133,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,1549,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,159,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
0,11,2022,Larinioides cornutus,10284,2904,Not Atlanta,10.25,no,no,no,no,no,medium,Summer,no
1,11,2022,Trichonephila clavipes,27897,1270,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,12,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,95,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,171,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Trichonephila clavata,6803,6889,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Trichonephila clavata,6803,17,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,3112,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,263,Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Trichonephila clavata,6803,302,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,12882,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,828,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Neoscona crucifera,24246,91,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,396,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Micrathena mitrata,1855,13313,Not Atlanta,6.18,yes,yes,yes,yes,no,medium,Fall,no
0,11,2022,Neoscona crucifera,24246,303,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
